"item_id","rating","evidence_mean","intuition_mean","EMI_score","decade_group","n","text","party","bin","starting_year","class"
1,-2.4,1.4,3.8,-2.0974271,0,5,"Hear me. my dear friend. I mean no disrespect at all.","Democrat","(-4.995, -2.779]",1881,0
2,-3.4,1,4.4,-1.1335781,0,10,"I dare the gentleman to deny it. or any one else.","Democrat","(-4.995, -2.779]",1885,0
3,-2.076923076923077,1.9230769230769231,4,-2.0922381999999997,0,13,"What I mean is to cast a veil of oblivion over the whole thing.","Democrat","(-4.995, -2.779]",1881,0
4,-1.4444444444444444,1.8888888888888888,3.3333333333333335,-1.9436134,0,9,"I alluded to someb6dy who was elected as a democrat. and who was going to vote as a republican.","Democrat","(-4.995, -2.779]",1881,0
5,-2.2,1.4,3.6,-1.0313965,0,10,"Iam pairdwithMr. MONROE. If he werepresentihe would vote ( ayi and I would vote ""no.""","Democrat","(-4.995, -2.779]",1879,0
6,-1.2222222222222223,1.8888888888888888,3.111111111111111,-0.43666703,0,9,"And I now move that the House recede from its disagreement to the Senate amendments and agree to the same.","Democrat","(-2.779, -0.572]",1883,0
7,-2.1666666666666665,1.1666666666666667,3.3333333333333335,-1.1465776,0,6,"I would like a minute or two more. [Cries of ""Go on! ""]","Democrat","(-2.779, -0.572]",1887,0
8,-1.8,1.8,3.6,-0.94170696,0,5,"if she had tendered that portpould we have objected to that ? But can we not now. since she paid us the money ?","Democrat","(-2.779, -0.572]",1881,0
9,0.7777777777777778,3.3333333333333335,2.5555555555555554,-0.9794885,0,9,"of necessity. But it was not adhered to one moment longer than the necessity existed. The system was adopted in the administration of the elder Adams. when war was expected with France. but nothing tended more to excite popular opposition to his administration than this system of taxation. except the alien and sedition acts. One of the first acts of Mr. Jeffersons administration was to wipe them from the statute book. The present system was adopted during the late lamentable war between the States. We do not now require its continuance. Tariff duties. if properly laid. will yield us an abundant revenue. These internal taxes bear much more oppressively upon the people than do import duties. I would take off the tax not only on matches. and the tax on bankchecks. and all else that is embraced in this bill. but I would if I could. as I have stated. repeal the whole system. I would abolish entirely the onerous and unjust tax on tobacco. on whisky. and on distilled and refined spirits. These are taxes which come upon the laboring masses. I would let the burdens of our Government fall elsewhere than upon the labor of the country.","Democrat","(-2.779, -0.572]",1881,1
10,-2.8,1.4,4.2,0.116348,0,5,"I gave notice several lavs :igo tict toti iy inimediately i fter the close of tim iorning busiuness. and ipon the call of business under the Anthony rute. which I understand is now the order. I should move to take up the resolution which I offered on the suiject of politiesl assessiiients. I desire now to make thatmnotion. Mr. MOIt] RLI I helpc th Senmtor will not intfere with mae this morning.","Democrat","(-2.779, -0.572]",1881,0
11,-1,2.1666666666666665,3.1666666666666665,-0.5278858000000001,0,6,"He might under the language hero hold over for half a dozen Congresses.","Democrat","(-0.572, 1.636]",1881,0
12,0.875,3.5,2.625,-0.38414872,0,8,"the outposts of civilization. planted a pioneer town in the Yakima Valley in Central Washington Territory. and called it Yakima city. Year by year they zealously guarded their isolated offspring until they saw it develop into a thriving. beautiful town. the commercial center of an exceedingly rich agricultural region. Under their progressive touch it became the largest town within a radius of 100 miles. and assumed sufficient importance to justify the Territorial Legislature in clothing it with all the functions of a city by an act of incorporation. From the beginning the Northern Pacific Railroad Company had given the inhabitants of this little city every assurance that the coming of the road meant permanent prosperity for them. The clouds of frontier deprivation were to be rolled back. and the sunshine of an assured and permanent growth was to envelope the results of more than twenty years of frugal industry and","Democrat","(-0.572, 1.636]",1885,1
13,0,2.3333333333333335,2.3333333333333335,0.66874963,0,6,"It increases expenditures beyond the amount proposed by the bill. I do not think it necessary to make any argument on that point of order.","Democrat","(-0.572, 1.636]",1881,0
14,1.6666666666666667,3.8333333333333335,2.1666666666666665,-0.66071606,0,6,"We know that we will reduce the revenue about $120.000.000 annually. We know that we will save over $5.000.000 paid annually to over 5.000 internalrevenue officers employed to collect it. and at least five millions more that is paid out annually in costs. fees of professional witnesses. spies. informers. marshals. attorneys. and others. Thus at one swoop we would save at least $10.000.000 in salaries and expenses. which could be added to other receipts of the Government. The repeal of this law would rid the country of many thousand men employed in the execution of the law who care tbr nothing save the money they can make out of it. whether honestly or not. and who are a curse to the country and a disgrace to the Government. Do this and the people who have been harassed and bedeviled by this class of men will once more feel like free","Democrat","(-0.572, 1.636]",1883,1
15,0.7777777777777778,3.2222222222222223,2.4444444444444446,-0.22095425,0,9,"against the unlimited exercise of the taxing power by restricting it to certain objects specified in the Constitution. They did not intend to confer upon Congress the authority to lay and collect taxes. &c for every conceivable purpose or to an unliuited extent for any purpose. nor can any such authority be found in any rational construction of the language in which the taxing power is granted to Coo gress. The fact is the power to lay and collect taxes. director indirect. is the power to take private property for the use of society. and can be justified to no greater extent than is absolutely necessary for the public good. Government has no just right to exact one dollar from any citizen more than is necessaryfor its legitimate wants and necessities. and when it goes beyond that and takes from the pockets of the people more money than is needed","Democrat","(-0.572, 1.636]",1881,1
16,2.4,4.2,1.8,2.9069567000000003,0,5,"The select committee appointed to investigate matters connected with the Pension Bureau have directed me to ask from the House authority to have printed for their use evidence taken by them and documents laid before them in connection with the investigation whenever the committee may deem such printing necessary.","Democrat","(1.636, 3.843]",1879,1
17,-1.75,1.625,3.375,3.0513303,0,8,"As no information about the facts in this case are given in the report. I should like to hear some explanation.","Democrat","(1.636, 3.843]",1883,0
18,-0.36363636363636365,2.5454545454545454,2.909090909090909,0.7768116,0,11,"Would it be in order after the previous question has been ordered. as it has been. to move to recommit the resolution with instructions.?","Democrat","(1.636, 3.843]",1885,0
19,3.2,4.8,1.6,2.150131,0,5,"There is a certified report of the weight and value of the cotton.","Democrat","(1.636, 3.843]",1887,1
20,1.5833333333333333,3.5,1.9166666666666667,1.4369196000000002,0,12,"Verifying weights and measures is the business of the principal officer.","Democrat","(1.636, 3.843]",1885,1
21,-1.25,2.125,3.375,-1.8090012,1,8,"happen to him which happened to Gen. John B. Henderson. Lyman Trumbull. James R. Doolittle. and others. for having the patriotism. the courage. the generosity. the manliness. and the intelligence to vote against their party for the acquittal of Andrew Johnson [applause on the Democratic side]. they would be unceremoniously read out of the Republican party.and hanged and burned in effigy. as were those men.","Democrat","(-5.265, -3.066]",1893,0
22,-2.4285714285714284,1.2142857142857142,3.642857142857143,-2.5923817,1,14,"It could not hurt anything to put it in there. could it?","Democrat","(-5.265, -3.066]",1893,0
23,-2.625,1.625,4.25,-2.9333766,1,8,"and worketh righteousness. and speaketh the truth in his heart. 8. He that backbiteth not With his tongue. nor doeth evil to his neighbor. nor taketh up a reproach against his neighbor. 4. In whose eyes a vile person is contemned. but he honoureth them that fear the Lord. He that sweareth to his own hurt. and changeth not. 5. He that putteth not out his money to usury. nor taketh revard against the innocent. He that doeth these things shall never be moved. Mr. President. the world is better for such lives asWALTHALLS. and though the circle of his friends. the Senate and the State that loved him. and the country at large. are poorer by his death. they can never lose the legacy of his noble character and its inspiration to high living and unselfish devotion to high ideals. There is no contribution that Mississippi could have made","Democrat","(-5.265, -3.066]",1897,0
24,0.16666666666666666,3.1666666666666665,3,-2.7158206000000003,1,6,"Spanish colonizations she had overspanned herself and excited envy. hatred. and war. Rome pursued the same course until the barbarians. pressed and pushed behind the wall. where they continued to multiply. came down for safety and from greed both for position and for food itself. and overwhelmed with hatred and contempt the proud oppressors of all mankind. Yes. it is true with nations as with men that ""the wages of sin is death."" and that the greatest of all sins is blind greed and selfishness and covetousness. ""Whom the gods would destroy they first make mad."" But to continue reading from Mr. Bryan: Until the right has triumphed in everyland and love reigns in every heart. governments must. as a last resort. appeal to force. As long as the oppressor is deaf to the voice of reason. so long must the citizen accustom his shoulder to the musket and his hand to the saber.","Democrat","(-5.265, -3.066]",1897,1
25,-2,1.75,3.75,-0.60623443,1,8,"Was there a bill to allot lands in severalty to the Seneca Indians?","Democrat","(-5.265, -3.066]",1889,0
26,1.1,3.4,2.3,-1.0430455,1,10,"cancer in the middle of our territory which threatens the security of the people of the United States immediately contiguous to this area. Without going into details. I assert as a fact which can not be denied. about which the proof is so overwhelming as to make it absurd to contradict it. that the authorities of the Indian Territory in the Five Civilized Tribes. because of circumstances. probably. for Vhich they are not responsible. are unable to protect life. liberty. and property in their own midst. and that Territory has become a harbor for criminals. I will confine myself to a personal statement as to the condition of the southern part of my own State. Property has been depreciated 25 per cent in southern Missouri by reason of the condition of affairs in the Indian Territory now. Towns in Kansas and in Missouri have been attacked openly. banks robbed. and","Democrat","(-3.066, -0.877]",1897,1
27,0.5,3.25,2.75,-1.3299584,1,8,"this mode of dealing with the boys was very bad for them. It is needless to say that our visitor of large promises did not interview the Great Father at Washington. or any one else. on the subject of clothing: it was only with the utmost difficulty that we could have the necessities of the boys in this line supplied. Indeed. the matter of clothing was alway.i a sore subject all around. That which was supplied by the Government was always of poor material and wretchedly made. so that the normal condition of the poor youths seemed to be that of tatters. Some of the boys were harder on their clothes than others. One young fellow would go out quite tolerably clad and return in a few hours in astate of raggery altogether indescribable. Expostulation. reproof. all fell short of effect. ""John. what have you beendoing to your clothes ?""","Democrat","(-3.066, -0.877]",1889,1
28,-2.0833333333333335,1.8333333333333333,3.9166666666666665,-1.4159162,1,12,"I call upon any gentleman from tme South to say that elections are not fair in his district. at least as far as Democrats are connected with them. I call upon any Southern Republican to say if Democrats do not conduct electionswith perfect fairness in his district. if every one. black or white. can not cast his vote with perfect freedom. and if Democratic inspectors do not count them precisely as they are cast. I call upon the gentleman from Tennessee to speak out and tell his Republican associates whether their accusations against the South are true. Tell them if Democrats conduct elections fairly in his district. Tell us who is right in his statements on that subject.","Democrat","(-3.066, -0.877]",1889,0
29,-1.1428571428571428,2.142857142857143,3.2857142857142856,-1.2646992,1,7,"Mr. President. after the impassioned address of the Senator from Georgia upon the subject of this Sunday amendment proposed by the Senator from Pennsylvania -and I think the argument naturally arises out of the excitement and feeling. to say nothing of the animosity. which have been excited here towards certain classes of peoplethat Congress ought to be very careful not to interfere in those matters of legislation which have reference entirely to church affairs. I thought. when I called the attention of the Senate to the fact that the Constitution of the United States separated church and state. that I had pretty good ground to stand on to justify myself in obeying what I conceive to be.my duty under that instrument and to oppose on this floor the connection of church and state. Here is a measure which originates entirely with the Senate. a Republican body. with a Republican committee.","Democrat","(-3.066, -0.877]",1891,0
30,0.16666666666666666,2.1666666666666665,2,-1.4847682,1,6,"I should like tosay that I think the Senator is mistaken in saying that there was no silver legaltender coin in the country. But does not the Senator know that in 1878. when the debate went on. it proceeded on the theory that we had the right to pay in gold or silver without reference to whether we had any then or not?","Democrat","(-3.066, -0.877]",1897,1
31,-0.875,2.375,3.25,-1.1192293,1,8,"The resolution to which I refer was a con.current resolution of the two Houses. It. expressed the honest opinion of gentlemen. with which the President had not any right to interfere.","Democrat","(-0.877, 1.313]",1893,0
